com.samsung.health.exercise,1144003,15
count_type,update_time,decline_distance,end_time,additional,max_rpm,pkg_name,mean_cadence,custom,duration,comment,mean_power,location_data,mean_caloricburn_rate,create_time,altitude_loss,mean_rpm,distance,max_power,count,max_cadence,altitude_gain,max_altitude,exercise_custom_type,vo2_max,datauuid,max_caloricburn_rate,max_heart_rate,mean_speed,max_speed,start_time,calorie,mean_heart_rate,live_data,min_heart_rate,min_altitude,incline_distance,exercise_type,deviceuuid,time_offset
30001,06.12.2021 à 09:33:11,0.000000,06.12.2021 à 09:33:11,,,com.sec.android.app.shealth,,,10466000,,,,,28.11.2021 à 13:46:45,0.000000,,0.000000,,291,,0.000000,0.000000,,,4966676e-f66a-4457-9d53-47f10ed0befd,,0.000000,0.000000,1.202917,28.11.2021 à 13:46:45,1.000000,0.000000,,0.000000,0.000000,0.000000,1001,NS2ZoYjFXt,3600000,
30001,29.11.2021 à 15:35:27,,29.11.2021 à 15:34:23,,,com.sec.android.app.shealth,,,812818,,,,,29.11.2021 à 15:35:27,,,1063.250000,,1363,,,,,,2a7c7b85-a4a5-5de3-75ed-c0fca6f7d369,,,1.606623,1.722222,29.11.2021 à 15:20:50,43.000000,,2a7c7b85-a4a5-5de3-75ed-c0fca6f7d369.live_data,,,,1001,3hCrv0rpUB,3600000,
30001,01.12.2021 à 10:55:48,,01.12.2021 à 10:54:45,,,com.sec.android.app.shealth,,,719110,,,,,01.12.2021 à 10:55:48,,,898.110000,,1177,,,,,,e63e8883-9610-c0c9-5d11-2ee26d1bd63c,,,1.569745,1.722222,01.12.2021 à 10:42:46,39.000000,,e63e8883-9610-c0c9-5d11-2ee26d1bd63c.live_data,,,,1001,3hCrv0rpUB,3600000,
30001,01.12.2021 à 16:08:04,,01.12.2021 à 16:07:01,,,com.sec.android.app.shealth,,,816135,,,,,01.12.2021 à 16:08:04,,,1041.520000,,1379,,,,,,a14957f6-65af-d372-12b6-e00c6b756603,,,1.384480,1.500000,01.12.2021 à 15:53:25,44.000000,,a14957f6-65af-d372-12b6-e00c6b756603.live_data,,,,1001,3hCrv0rpUB,3600000,
30001,01.12.2021 à 22:14:41,,01.12.2021 à 22:13:36,,,com.sec.android.app.shealth,,,694617,,,,,01.12.2021 à 22:14:41,,,846.310000,,1094,,,,,,3e7b87dd-5078-488f-cec8-1bd9204f0fcc,,,1.523699,1.666667,01.12.2021 à 22:02:01,33.000000,,3e7b87dd-5078-488f-cec8-1bd9204f0fcc.live_data,,,,1001,3hCrv0rpUB,3600000,
30001,02.12.2021 à 18:12:36,,02.12.2021 à 18:11:32,,,com.sec.android.app.shealth,,,647765,,,,,02.12.2021 à 18:12:36,,,737.900000,,946,,,,,,7d9660e8-0d02-dbbd-0d66-6b5399134dcf,,,1.542618,1.750000,02.12.2021 à 18:00:44,31.000000,,7d9660e8-0d02-dbbd-0d66-6b5399134dcf.live_data,,,,1001,3hCrv0rpUB,3600000,
30001,02.12.2021 à 20:51:10,,02.12.2021 à 20:50:05,,,com.sec.android.app.shealth,,,716882,,,,,02.12.2021 à 20:51:10,,,805.880000,,1159,,,,,,7766f9fb-3476-84d1-b605-2210a720b8e9,,,1.487348,1.612737,02.12.2021 à 20:38:08,39.000000,,7766f9fb-3476-84d1-b605-2210a720b8e9.live_data,,,,1001,3hCrv0rpUB,3600000,
30001,03.12.2021 à 14:46:53,,03.12.2021 à 14:45:51,,,com.sec.android.app.shealth,,,782966,,,,,03.12.2021 à 14:46:53,,,828.068000,,1095,,,,,,b2492ef4-43cd-379c-3d7d-65127cca20ec,,90.000000,1.399008,1.916667,03.12.2021 à 14:32:48,35.000000,84.000000,b2492ef4-43cd-379c-3d7d-65127cca20ec.live_data,80.000000,,,1001,3hCrv0rpUB,3600000,
,04.12.2021 à 02:45:39,,04.12.2021 à 02:44:37,,,com.sec.android.app.shealth,,,1609780,,,,,04.12.2021 à 02:45:39,,,,,,,,,,,57498494-1aa3-b7c6-8048-0fedada931cf,,136.000000,,,04.12.2021 à 02:17:47,166.000000,122.000000,57498494-1aa3-b7c6-8048-0fedada931cf.live_data,108.000000,,,0,3hCrv0rpUB,3600000,
,04.12.2021 à 03:03:40,,04.12.2021 à 03:02:38,,,com.sec.android.app.shealth,,,909831,,,,,04.12.2021 à 03:03:40,,,,,,,,,,,26601fd8-a4f1-3172-e473-67267316d3e9,,117.000000,,,04.12.2021 à 02:47:28,100.000000,101.000000,26601fd8-a4f1-3172-e473-67267316d3e9.live_data,81.000000,,,0,3hCrv0rpUB,3600000,

