com.samsung.health.floors_climbed,1144003,5
end_time,floor,pkg_name,custom,update_time,start_time,datauuid,time_offset,create_time,deviceuuid
29.11.2021 à 10:55:12,1.000000,com.sec.android.app.shealth,,29.11.2021 à 10:56:42,29.11.2021 à 10:55:03,ef123623-8a86-84ea-5835-38e4621fa6b7,3600000,29.11.2021 à 10:56:42,3hCrv0rpUB,
29.11.2021 à 12:14:25,2.000000,com.sec.android.app.shealth,,29.11.2021 à 12:20:54,29.11.2021 à 12:13:51,091e655a-6319-a5e5-e18c-21ca6822ed35,3600000,29.11.2021 à 12:20:54,3hCrv0rpUB,
29.11.2021 à 12:38:15,2.000000,com.sec.android.app.shealth,,29.11.2021 à 12:44:18,29.11.2021 à 12:37:43,ab148955-2b9c-b9ff-6642-bc75e0b42621,3600000,29.11.2021 à 12:44:17,3hCrv0rpUB,
29.11.2021 à 19:44:43,1.000000,com.sec.android.app.shealth,,29.11.2021 à 19:47:05,29.11.2021 à 19:44:37,0980bddd-80c0-d066-e44a-d827c04bcee5,3600000,29.11.2021 à 19:47:04,3hCrv0rpUB,
01.12.2021 à 13:43:24,2.000000,com.sec.android.app.shealth,,01.12.2021 à 13:49:32,01.12.2021 à 13:43:02,ad760d61-3e9d-555c-929f-ff4f60274e11,3600000,01.12.2021 à 13:49:32,3hCrv0rpUB,
01.12.2021 à 16:05:52,1.000000,com.sec.android.app.shealth,,01.12.2021 à 16:09:05,01.12.2021 à 16:05:40,29f3b479-8dcd-4777-f846-105058aa0bcc,3600000,01.12.2021 à 16:09:05,3hCrv0rpUB,
02.12.2021 à 18:56:26,2.000000,com.sec.android.app.shealth,,02.12.2021 à 19:07:54,02.12.2021 à 18:55:33,810f23cf-6cdc-ef91-250d-6bb300ce6984,3600000,02.12.2021 à 19:07:54,3hCrv0rpUB,
02.12.2021 à 20:40:06,3.000000,com.sec.android.app.shealth,,02.12.2021 à 20:48:39,02.12.2021 à 20:38:52,eb157f7c-0545-e5f0-9e74-7142f59eb2f5,3600000,02.12.2021 à 20:48:39,3hCrv0rpUB,
03.12.2021 à 09:05:22,1.000000,com.sec.android.app.shealth,,03.12.2021 à 09:06:37,03.12.2021 à 09:05:02,9aaf6e24-0ba9-0a31-0ad7-a4eac519d58f,3600000,03.12.2021 à 09:06:37,3hCrv0rpUB,
03.12.2021 à 09:07:25,1.000000,com.sec.android.app.shealth,,03.12.2021 à 09:08:41,03.12.2021 à 09:07:01,2f671ce6-571e-f324-7ae6-77e119e4636f,3600000,03.12.2021 à 09:08:41,3hCrv0rpUB,
04.12.2021 à 01:04:23,4.000000,com.sec.android.app.shealth,,04.12.2021 à 01:06:13,04.12.2021 à 01:03:24,09a211b0-cc69-456f-95b1-f88d95774cde,3600000,04.12.2021 à 01:04:10,3hCrv0rpUB,
04.12.2021 à 03:39:40,1.000000,com.sec.android.app.shealth,,04.12.2021 à 03:42:38,04.12.2021 à 03:39:15,54c7ca7b-8c2a-1b88-6e34-a673ccdc6979,3600000,04.12.2021 à 03:42:38,3hCrv0rpUB,
06.12.2021 à 17:50:01,1.000000,com.sec.android.app.shealth,,06.12.2021 à 17:50:48,06.12.2021 à 17:49:44,890e075c-fec7-bd85-debf-22b594ba74d6,3600000,06.12.2021 à 17:50:48,3hCrv0rpUB,
06.12.2021 à 17:54:24,1.000000,com.sec.android.app.shealth,,06.12.2021 à 17:54:46,06.12.2021 à 17:54:05,d1c2b7f7-27aa-0f97-c7c9-93877324c253,3600000,06.12.2021 à 17:54:46,3hCrv0rpUB,
06.12.2021 à 18:44:20,1.000000,com.sec.android.app.shealth,,06.12.2021 à 18:47:19,06.12.2021 à 18:44:00,cd378a39-bb18-a054-057b-529f913092b1,3600000,06.12.2021 à 18:47:19,3hCrv0rpUB,
06.12.2021 à 18:58:04,1.000000,com.sec.android.app.shealth,,06.12.2021 à 18:59:30,06.12.2021 à 18:57:47,fd2d7aed-537d-7315-1dfa-2be87d0d4f45,3600000,06.12.2021 à 18:57:59,3hCrv0rpUB,
06.12.2021 à 20:20:53,2.000000,com.sec.android.app.shealth,,06.12.2021 à 20:21:57,06.12.2021 à 20:19:16,f2ced519-8c79-40f4-1e62-a3bc3972a88c,3600000,06.12.2021 à 20:19:56,3hCrv0rpUB,

